"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,100,5000,100,16,0,valve.png, 0.219747 s
seam-carving-omp-opt,100,5000,100,16,0,720x480.png, 0.267869 s
seam-carving-omp-opt,100,5000,100,16,0,7680x4320.png, 14.731390 s
seam-carving-omp-opt,100,5000,100,16,0,1920x1200.png, 0.961165 s
seam-carving-omp-opt,100,5000,100,16,0,1024x768.png, 0.435929 s
seam-carving-omp-opt,100,5000,100,16,0,3840x2160.png, 3.666321 s
seam-carving-omp-opt,100,5000,100,16,0,test.png, 0.376879 s
seam-carving-omp-opt,100,5000,500,16,0,valve.png, 0.282344 s
seam-carving-omp-opt,100,5000,500,16,0,720x480.png, 0.331661 s
seam-carving-omp-opt,100,5000,500,16,0,7680x4320.png, 15.911387 s
seam-carving-omp-opt,100,5000,500,16,0,1920x1200.png, 1.229376 s
seam-carving-omp-opt,100,5000,500,16,0,1024x768.png, 0.729229 s
seam-carving-omp-opt,100,5000,500,16,0,3840x2160.png, 4.725440 s
seam-carving-omp-opt,100,5000,500,16,0,test.png, 0.568788 s
seam-carving-omp-opt,100,5000,1000,16,0,valve.png, 0.276121 s
seam-carving-omp-opt,100,5000,1000,16,0,720x480.png, 0.349332 s
seam-carving-omp-opt,100,5000,1000,16,0,7680x4320.png, 18.067691 s
seam-carving-omp-opt,100,5000,1000,16,0,1920x1200.png, 1.473989 s
seam-carving-omp-opt,100,5000,1000,16,0,1024x768.png, 0.756042 s
seam-carving-omp-opt,100,5000,1000,16,0,3840x2160.png, 6.043517 s
seam-carving-omp-opt,100,5000,1000,16,0,test.png, 0.594147 s
seam-carving-omp-opt,100,5000,5000,16,0,valve.png, 0.285043 s
seam-carving-omp-opt,100,5000,5000,16,0,720x480.png, 0.350750 s
seam-carving-omp-opt,100,5000,5000,16,0,7680x4320.png, 27.078345 s
seam-carving-omp-opt,100,5000,5000,16,0,1920x1200.png, 1.431610 s
seam-carving-omp-opt,100,5000,5000,16,0,1024x768.png, 0.747300 s
