"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,100,100,100,16,0,valve.png, 0.258245 s
seam-carving-omp-opt,100,100,100,16,0,720x480.png, 0.323874 s
seam-carving-omp-opt,100,100,100,16,0,7680x4320.png, 13.176916 s
seam-carving-omp-opt,100,100,100,16,0,1920x1200.png, 1.042318 s
seam-carving-omp-opt,100,100,100,16,0,1024x768.png, 0.526156 s
seam-carving-omp-opt,100,100,100,16,0,3840x2160.png, 3.429088 s
seam-carving-omp-opt,100,100,100,16,0,test.png, 0.475729 s
seam-carving-omp-opt,100,100,500,16,0,valve.png, 0.355688 s
seam-carving-omp-opt,100,100,500,16,0,720x480.png, 0.430277 s
seam-carving-omp-opt,100,100,500,16,0,7680x4320.png, 14.134901 s
seam-carving-omp-opt,100,100,500,16,0,1920x1200.png, 1.261600 s
seam-carving-omp-opt,100,100,500,16,0,1024x768.png, 0.812426 s
seam-carving-omp-opt,100,100,500,16,0,3840x2160.png, 4.240622 s
seam-carving-omp-opt,100,100,500,16,0,test.png, 0.691094 s
seam-carving-omp-opt,100,100,1000,16,0,valve.png, 0.355753 s
seam-carving-omp-opt,100,100,1000,16,0,720x480.png, 0.434525 s
seam-carving-omp-opt,100,100,1000,16,0,7680x4320.png, 15.621874 s
seam-carving-omp-opt,100,100,1000,16,0,1920x1200.png, 1.418765 s
seam-carving-omp-opt,100,100,1000,16,0,1024x768.png, 0.811819 s
seam-carving-omp-opt,100,100,1000,16,0,3840x2160.png, 5.221581 s
seam-carving-omp-opt,100,100,1000,16,0,test.png, 0.691746 s
seam-carving-omp-opt,100,100,5000,16,0,valve.png, 0.356984 s
seam-carving-omp-opt,100,100,5000,16,0,720x480.png, 0.431378 s
seam-carving-omp-opt,100,100,5000,16,0,7680x4320.png, 23.920141 s
seam-carving-omp-opt,100,100,5000,16,0,1920x1200.png, 1.405254 s
seam-carving-omp-opt,100,100,5000,16,0,1024x768.png, 0.821403 s
seam-carving-omp-opt,100,100,5000,16,0,3840x2160.png, 7.048400 s
