"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,100,100,100,32,0,valve.png, 0.349597 s
seam-carving-omp-opt,100,100,100,32,0,720x480.png, 0.415299 s
seam-carving-omp-opt,100,100,100,32,0,7680x4320.png, 9.627428 s
seam-carving-omp-opt,100,100,100,32,0,1920x1200.png, 1.191975 s
seam-carving-omp-opt,100,100,100,32,0,1024x768.png, 0.648756 s
seam-carving-omp-opt,100,100,100,32,0,3840x2160.png, 3.149160 s
seam-carving-omp-opt,100,100,100,32,0,test.png, 0.311845 s
seam-carving-omp-opt,100,100,500,32,0,valve.png, 0.492213 s
seam-carving-omp-opt,100,100,500,32,0,720x480.png, 0.548954 s
seam-carving-omp-opt,100,100,500,32,0,7680x4320.png, 10.799339 s
seam-carving-omp-opt,100,100,500,32,0,1920x1200.png, 1.496861 s
seam-carving-omp-opt,100,100,500,32,0,1024x768.png, 1.002328 s
seam-carving-omp-opt,100,100,500,32,0,3840x2160.png, 4.203178 s
seam-carving-omp-opt,100,100,500,32,0,test.png, 0.425234 s
seam-carving-omp-opt,100,100,1000,32,0,valve.png, 0.486702 s
seam-carving-omp-opt,100,100,1000,32,0,720x480.png, 0.563634 s
seam-carving-omp-opt,100,100,1000,32,0,7680x4320.png, 12.512621 s
seam-carving-omp-opt,100,100,1000,32,0,1920x1200.png, 1.658957 s
seam-carving-omp-opt,100,100,1000,32,0,1024x768.png, 0.987151 s
seam-carving-omp-opt,100,100,1000,32,0,3840x2160.png, 5.504080 s
seam-carving-omp-opt,100,100,1000,32,0,test.png, 0.433678 s
seam-carving-omp-opt,100,100,5000,32,0,valve.png, 0.475405 s
seam-carving-omp-opt,100,100,5000,32,0,720x480.png, 0.566789 s
seam-carving-omp-opt,100,100,5000,32,0,7680x4320.png, 23.127756 s
seam-carving-omp-opt,100,100,5000,32,0,1920x1200.png, 1.645323 s
seam-carving-omp-opt,100,100,5000,32,0,1024x768.png, 0.991822 s
seam-carving-omp-opt,100,100,5000,32,0,3840x2160.png, 8.093321 s
seam-carving-omp-opt,100,100,5000,32,0,test.png, 0.420177 s
seam-carving-omp-opt,100,500,100,32,0,valve.png, 0.295376 s
seam-carving-omp-opt,100,500,100,32,0,720x480.png, 0.344646 s
seam-carving-omp-opt,100,500,100,32,0,7680x4320.png, 9.590841 s
seam-carving-omp-opt,100,500,100,32,0,1920x1200.png, 0.796458 s
seam-carving-omp-opt,100,500,100,32,0,1024x768.png, 0.493752 s
seam-carving-omp-opt,100,500,100,32,0,3840x2160.png, 2.805740 s
seam-carving-omp-opt,100,500,100,32,0,test.png, 0.301745 s
seam-carving-omp-opt,100,500,500,32,0,valve.png, 0.278951 s
seam-carving-omp-opt,100,500,500,32,0,720x480.png, 0.353230 s
seam-carving-omp-opt,100,500,500,32,0,7680x4320.png, 11.109656 s
seam-carving-omp-opt,100,500,500,32,0,1920x1200.png, 1.049763 s
seam-carving-omp-opt,100,500,500,32,0,1024x768.png, 0.776392 s
seam-carving-omp-opt,100,500,500,32,0,3840x2160.png, 3.932067 s
seam-carving-omp-opt,100,500,500,32,0,test.png, 0.264810 s
seam-carving-omp-opt,100,500,1000,32,0,valve.png, 0.283437 s
seam-carving-omp-opt,100,500,1000,32,0,720x480.png, 0.359886 s
seam-carving-omp-opt,100,500,1000,32,0,7680x4320.png, 12.531036 s
seam-carving-omp-opt,100,500,1000,32,0,1920x1200.png, 1.288688 s
seam-carving-omp-opt,100,500,1000,32,0,1024x768.png, 0.764789 s
seam-carving-omp-opt,100,500,1000,32,0,3840x2160.png, 5.301575 s
seam-carving-omp-opt,100,500,1000,32,0,test.png, 0.261228 s
seam-carving-omp-opt,100,500,5000,32,0,valve.png, 0.290146 s
seam-carving-omp-opt,100,500,5000,32,0,720x480.png, 0.338745 s
seam-carving-omp-opt,100,500,5000,32,0,7680x4320.png, 22.757191 s
seam-carving-omp-opt,100,500,5000,32,0,1920x1200.png, 1.326300 s
seam-carving-omp-opt,100,500,5000,32,0,1024x768.png, 0.771937 s
seam-carving-omp-opt,100,500,5000,32,0,3840x2160.png, 7.974605 s
seam-carving-omp-opt,100,500,5000,32,0,test.png, 0.266709 s
seam-carving-omp-opt,100,1000,100,32,0,valve.png, 0.308477 s
seam-carving-omp-opt,100,1000,100,32,0,720x480.png, 0.350837 s
seam-carving-omp-opt,100,1000,100,32,0,7680x4320.png, 9.376651 s
seam-carving-omp-opt,100,1000,100,32,0,1920x1200.png, 0.867391 s
seam-carving-omp-opt,100,1000,100,32,0,1024x768.png, 0.495074 s
seam-carving-omp-opt,100,1000,100,32,0,3840x2160.png, 2.524740 s
seam-carving-omp-opt,100,1000,100,32,0,test.png, 0.304255 s
seam-carving-omp-opt,100,1000,500,32,0,valve.png, 0.287743 s
seam-carving-omp-opt,100,1000,500,32,0,720x480.png, 0.354634 s
seam-carving-omp-opt,100,1000,500,32,0,7680x4320.png, 10.409499 s
seam-carving-omp-opt,100,1000,500,32,0,1920x1200.png, 1.210681 s
seam-carving-omp-opt,100,1000,500,32,0,1024x768.png, 0.747543 s
seam-carving-omp-opt,100,1000,500,32,0,3840x2160.png, 3.699968 s
seam-carving-omp-opt,100,1000,500,32,0,test.png, 0.260963 s
seam-carving-omp-opt,100,1000,1000,32,0,valve.png, 0.294711 s
seam-carving-omp-opt,100,1000,1000,32,0,720x480.png, 0.347015 s
seam-carving-omp-opt,100,1000,1000,32,0,7680x4320.png, 12.467059 s
seam-carving-omp-opt,100,1000,1000,32,0,1920x1200.png, 1.275673 s
seam-carving-omp-opt,100,1000,1000,32,0,1024x768.png, 0.738730 s
seam-carving-omp-opt,100,1000,1000,32,0,3840x2160.png, 5.173342 s
seam-carving-omp-opt,100,1000,1000,32,0,test.png, 0.260963 s
seam-carving-omp-opt,100,1000,5000,32,0,valve.png, 0.291558 s
seam-carving-omp-opt,100,1000,5000,32,0,720x480.png, 0.355933 s
seam-carving-omp-opt,100,1000,5000,32,0,7680x4320.png, 24.120122 s
seam-carving-omp-opt,100,1000,5000,32,0,1920x1200.png, 1.288688 s
seam-carving-omp-opt,100,1000,5000,32,0,1024x768.png, 0.741322 s
seam-carving-omp-opt,100,1000,5000,32,0,3840x2160.png, 7.966554 s
seam-carving-omp-opt,100,1000,5000,32,0,test.png, 0.262471 s
seam-carving-omp-opt,100,5000,100,32,0,valve.png, 0.309217 s
seam-carving-omp-opt,100,5000,100,32,0,720x480.png, 0.357252 s
seam-carving-omp-opt,100,5000,100,32,0,7680x4320.png, 10.926360 s
seam-carving-omp-opt,100,5000,100,32,0,1920x1200.png, 0.858770 s
seam-carving-omp-opt,100,5000,100,32,0,1024x768.png, 0.487371 s
seam-carving-omp-opt,100,5000,100,32,0,3840x2160.png, 3.102372 s
seam-carving-omp-opt,100,5000,100,32,0,test.png, 0.303880 s
seam-carving-omp-opt,100,5000,500,32,0,valve.png, 0.295783 s
seam-carving-omp-opt,100,5000,500,32,0,720x480.png, 0.343460 s
seam-carving-omp-opt,100,5000,500,32,0,7680x4320.png, 11.982946 s
seam-carving-omp-opt,100,5000,500,32,0,1920x1200.png, 1.195391 s
seam-carving-omp-opt,100,5000,500,32,0,1024x768.png, 0.747276 s
seam-carving-omp-opt,100,5000,500,32,0,3840x2160.png, 4.329741 s
seam-carving-omp-opt,100,5000,500,32,0,test.png, 0.263863 s
seam-carving-omp-opt,100,5000,1000,32,0,valve.png, 0.286830 s
seam-carving-omp-opt,100,5000,1000,32,0,720x480.png, 0.355600 s
seam-carving-omp-opt,100,5000,1000,32,0,7680x4320.png, 14.098222 s
seam-carving-omp-opt,100,5000,1000,32,0,1920x1200.png, 1.268970 s
seam-carving-omp-opt,100,5000,1000,32,0,1024x768.png, 0.738296 s
seam-carving-omp-opt,100,5000,1000,32,0,3840x2160.png, 5.859872 s
seam-carving-omp-opt,100,5000,1000,32,0,test.png, 0.260964 s
seam-carving-omp-opt,100,5000,5000,32,0,valve.png, 0.290124 s
seam-carving-omp-opt,100,5000,5000,32,0,720x480.png, 0.363186 s
seam-carving-omp-opt,100,5000,5000,32,0,7680x4320.png, 26.312185 s
seam-carving-omp-opt,100,5000,5000,32,0,1920x1200.png, 1.276996 s
seam-carving-omp-opt,100,5000,5000,32,0,1024x768.png, 0.744373 s
seam-carving-omp-opt,100,5000,5000,32,0,3840x2160.png, 8.671103 s
seam-carving-omp-opt,100,5000,5000,32,0,test.png, 0.262344 s
seam-carving-omp-opt,500,100,100,32,0,valve.png, 0.358721 s
seam-carving-omp-opt,500,100,100,32,0,720x480.png, 0.421638 s
seam-carving-omp-opt,500,100,100,32,0,7680x4320.png, 9.835413 s
seam-carving-omp-opt,500,100,100,32,0,1920x1200.png, 1.206459 s
seam-carving-omp-opt,500,100,100,32,0,1024x768.png, 0.658295 s
seam-carving-omp-opt,500,100,100,32,0,3840x2160.png, 3.170680 s
seam-carving-omp-opt,500,100,100,32,0,test.png, 0.322227 s
seam-carving-omp-opt,500,100,500,32,0,valve.png, 0.491120 s
seam-carving-omp-opt,500,100,500,32,0,720x480.png, 0.557269 s
seam-carving-omp-opt,500,100,500,32,0,7680x4320.png, 10.758826 s
seam-carving-omp-opt,500,100,500,32,0,1920x1200.png, 1.726005 s
seam-carving-omp-opt,500,100,500,32,0,1024x768.png, 1.013063 s
seam-carving-omp-opt,500,100,500,32,0,3840x2160.png, 4.332766 s
seam-carving-omp-opt,500,100,500,32,0,test.png, 0.429749 s
seam-carving-omp-opt,500,100,1000,32,0,valve.png, 0.491752 s
seam-carving-omp-opt,500,100,1000,32,0,720x480.png, 0.556405 s
seam-carving-omp-opt,500,100,1000,32,0,7680x4320.png, 13.219355 s
seam-carving-omp-opt,500,100,1000,32,0,1920x1200.png, 1.697574 s
seam-carving-omp-opt,500,100,1000,32,0,1024x768.png, 1.024218 s
seam-carving-omp-opt,500,100,1000,32,0,3840x2160.png, 5.691626 s
seam-carving-omp-opt,500,100,1000,32,0,test.png, 0.430465 s
seam-carving-omp-opt,500,100,5000,32,0,valve.png, 0.494295 s
seam-carving-omp-opt,500,100,5000,32,0,720x480.png, 0.567875 s
seam-carving-omp-opt,500,100,5000,32,0,7680x4320.png, 23.341681 s
seam-carving-omp-opt,500,100,5000,32,0,1920x1200.png, 1.679574 s
seam-carving-omp-opt,500,100,5000,32,0,1024x768.png, 1.006711 s
seam-carving-omp-opt,500,100,5000,32,0,3840x2160.png, 8.029341 s
seam-carving-omp-opt,500,100,5000,32,0,test.png, 0.442306 s
seam-carving-omp-opt,500,500,100,32,0,valve.png, 0.298333 s
seam-carving-omp-opt,500,500,100,32,0,720x480.png, 0.344041 s
seam-carving-omp-opt,500,500,100,32,0,7680x4320.png, 9.749872 s
seam-carving-omp-opt,500,500,100,32,0,1920x1200.png, 0.797578 s
seam-carving-omp-opt,500,500,100,32,0,1024x768.png, 0.483383 s
seam-carving-omp-opt,500,500,100,32,0,3840x2160.png, 2.795218 s
seam-carving-omp-opt,500,500,100,32,0,test.png, 0.298573 s
seam-carving-omp-opt,500,500,500,32,0,valve.png, 0.282040 s
seam-carving-omp-opt,500,500,500,32,0,720x480.png, 0.339612 s
seam-carving-omp-opt,500,500,500,32,0,7680x4320.png, 10.792527 s
seam-carving-omp-opt,500,500,500,32,0,1920x1200.png, 1.043766 s
seam-carving-omp-opt,500,500,500,32,0,1024x768.png, 0.752971 s
seam-carving-omp-opt,500,500,500,32,0,3840x2160.png, 3.893202 s
seam-carving-omp-opt,500,500,500,32,0,test.png, 0.257138 s
seam-carving-omp-opt,500,500,1000,32,0,valve.png, 0.294892 s
seam-carving-omp-opt,500,500,1000,32,0,720x480.png, 0.341002 s
seam-carving-omp-opt,500,500,1000,32,0,7680x4320.png, 12.426354 s
seam-carving-omp-opt,500,500,1000,32,0,1920x1200.png, 1.289147 s
seam-carving-omp-opt,500,500,1000,32,0,1024x768.png, 0.747273 s
seam-carving-omp-opt,500,500,1000,32,0,3840x2160.png, 5.299078 s
seam-carving-omp-opt,500,500,1000,32,0,test.png, 0.253680 s
seam-carving-omp-opt,500,500,5000,32,0,valve.png, 0.300834 s
seam-carving-omp-opt,500,500,5000,32,0,720x480.png, 0.347155 s
seam-carving-omp-opt,500,500,5000,32,0,7680x4320.png, 22.799686 s
seam-carving-omp-opt,500,500,5000,32,0,1920x1200.png, 1.287731 s
seam-carving-omp-opt,500,500,5000,32,0,1024x768.png, 0.733943 s
seam-carving-omp-opt,500,500,5000,32,0,3840x2160.png, 8.051321 s
seam-carving-omp-opt,500,500,5000,32,0,test.png, 0.261475 s
seam-carving-omp-opt,500,1000,100,32,0,valve.png, 0.298829 s
seam-carving-omp-opt,500,1000,100,32,0,720x480.png, 0.337778 s
seam-carving-omp-opt,500,1000,100,32,0,7680x4320.png, 9.154006 s
seam-carving-omp-opt,500,1000,100,32,0,1920x1200.png, 0.838480 s
seam-carving-omp-opt,500,1000,100,32,0,1024x768.png, 0.470946 s
seam-carving-omp-opt,500,1000,100,32,0,3840x2160.png, 2.502340 s
seam-carving-omp-opt,500,1000,100,32,0,test.png, 0.294070 s
seam-carving-omp-opt,500,1000,500,32,0,valve.png, 0.278170 s
seam-carving-omp-opt,500,1000,500,32,0,720x480.png, 0.343909 s
seam-carving-omp-opt,500,1000,500,32,0,7680x4320.png, 10.225688 s
seam-carving-omp-opt,500,1000,500,32,0,1920x1200.png, 1.157886 s
seam-carving-omp-opt,500,1000,500,32,0,1024x768.png, 0.730829 s
seam-carving-omp-opt,500,1000,500,32,0,3840x2160.png, 3.701646 s
seam-carving-omp-opt,500,1000,500,32,0,test.png, 0.250997 s
seam-carving-omp-opt,500,1000,1000,32,0,valve.png, 0.285582 s
seam-carving-omp-opt,500,1000,1000,32,0,720x480.png, 0.336065 s
seam-carving-omp-opt,500,1000,1000,32,0,7680x4320.png, 12.266704 s
seam-carving-omp-opt,500,1000,1000,32,0,1920x1200.png, 1.247888 s
seam-carving-omp-opt,500,1000,1000,32,0,1024x768.png, 0.735899 s
seam-carving-omp-opt,500,1000,1000,32,0,3840x2160.png, 5.174634 s
seam-carving-omp-opt,500,1000,1000,32,0,test.png, 0.253476 s
seam-carving-omp-opt,500,1000,5000,32,0,valve.png, 0.274681 s
seam-carving-omp-opt,500,1000,5000,32,0,720x480.png, 0.348443 s
seam-carving-omp-opt,500,1000,5000,32,0,7680x4320.png, 23.958299 s
seam-carving-omp-opt,500,1000,5000,32,0,1920x1200.png, 1.247481 s
seam-carving-omp-opt,500,1000,5000,32,0,1024x768.png, 0.734873 s
seam-carving-omp-opt,500,1000,5000,32,0,3840x2160.png, 7.771554 s
seam-carving-omp-opt,500,1000,5000,32,0,test.png, 0.258898 s
seam-carving-omp-opt,500,5000,100,32,0,valve.png, 0.296703 s
seam-carving-omp-opt,500,5000,100,32,0,720x480.png, 0.339356 s
seam-carving-omp-opt,500,5000,100,32,0,7680x4320.png, 10.889521 s
