"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,1,100,5000,16,0,720x480.png, 0.534882 s
seam-carving-omp-opt,1,100,5000,16,0,7680x4320.png, 26.001131 s
seam-carving-omp-opt,1,100,5000,16,0,1920x1200.png, 1.735411 s
seam-carving-omp-opt,1,100,5000,16,0,1024x768.png, 1.050755 s
seam-carving-omp-opt,1,100,5000,16,0,3840x2160.png, 7.834840 s
seam-carving-omp-opt,1,100,5000,16,0,test.png, 0.887324 s
seam-carving-omp-opt,1,100,10000,16,0,valve.png, 0.467053 s
seam-carving-omp-opt,1,100,10000,16,0,720x480.png, 0.537992 s
seam-carving-omp-opt,1,100,10000,16,0,7680x4320.png, 25.922532 s
seam-carving-omp-opt,1,100,10000,16,0,1920x1200.png, 1.721262 s
seam-carving-omp-opt,1,100,10000,16,0,1024x768.png, 1.050719 s
seam-carving-omp-opt,1,100,10000,16,0,3840x2160.png, 7.944682 s
seam-carving-omp-opt,1,100,10000,16,0,test.png, 0.902671 s
seam-carving-omp-opt,1,500,1,16,0,valve.png, 0.156918 s
seam-carving-omp-opt,1,500,1,16,0,720x480.png, 0.195092 s
seam-carving-omp-opt,1,500,1,16,0,7680x4320.png, 13.785559 s
seam-carving-omp-opt,1,500,1,16,0,1920x1200.png, 1.244338 s
seam-carving-omp-opt,1,500,1,16,0,1024x768.png, 0.408589 s
seam-carving-omp-opt,1,500,1,16,0,3840x2160.png, 3.895432 s
seam-carving-omp-opt,1,500,1,16,0,test.png, 0.343229 s
seam-carving-omp-opt,1,500,100,16,0,valve.png, 0.242934 s
seam-carving-omp-opt,1,500,100,16,0,720x480.png, 0.298893 s
seam-carving-omp-opt,1,500,100,16,0,7680x4320.png, 13.810206 s
seam-carving-omp-opt,1,500,100,16,0,1920x1200.png, 1.250982 s
seam-carving-omp-opt,1,500,100,16,0,1024x768.png, 0.486681 s
seam-carving-omp-opt,1,500,100,16,0,3840x2160.png, 3.840645 s
seam-carving-omp-opt,1,500,100,16,0,test.png, 0.416232 s
seam-carving-omp-opt,1,500,500,16,0,valve.png, 0.312129 s
seam-carving-omp-opt,1,500,500,16,0,720x480.png, 0.393709 s
seam-carving-omp-opt,1,500,500,16,0,7680x4320.png, 14.556940 s
seam-carving-omp-opt,1,500,500,16,0,1920x1200.png, 1.534611 s
seam-carving-omp-opt,1,500,500,16,0,1024x768.png, 0.820037 s
seam-carving-omp-opt,1,500,500,16,0,3840x2160.png, 4.827539 s
seam-carving-omp-opt,1,500,500,16,0,test.png, 0.662328 s
seam-carving-omp-opt,1,500,700,16,0,valve.png, 0.317223 s
seam-carving-omp-opt,1,500,700,16,0,720x480.png, 0.380355 s
seam-carving-omp-opt,1,500,700,16,0,7680x4320.png, 15.035840 s
seam-carving-omp-opt,1,500,700,16,0,1920x1200.png, 1.744945 s
seam-carving-omp-opt,1,500,700,16,0,1024x768.png, 0.809528 s
seam-carving-omp-opt,1,500,700,16,0,3840x2160.png, 5.206496 s
seam-carving-omp-opt,1,500,700,16,0,test.png, 0.651268 s
seam-carving-omp-opt,1,500,1000,16,0,valve.png, 0.308619 s
seam-carving-omp-opt,1,500,1000,16,0,720x480.png, 0.372947 s
