"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,100,100,100,16,0,valve.png, 0.267615 s
seam-carving-omp-opt,100,100,100,16,0,720x480.png, 0.325454 s
seam-carving-omp-opt,100,100,100,16,0,7680x4320.png, 14.219035 s
seam-carving-omp-opt,100,100,100,16,0,1920x1200.png, 1.075651 s
seam-carving-omp-opt,100,100,100,16,0,1024x768.png, 0.547661 s
seam-carving-omp-opt,100,100,100,16,0,3840x2160.png, 3.771291 s
seam-carving-omp-opt,100,100,500,16,0,valve.png, 0.360426 s
seam-carving-omp-opt,100,100,500,16,0,720x480.png, 0.445187 s
seam-carving-omp-opt,100,100,500,16,0,7680x4320.png, 14.207379 s
seam-carving-omp-opt,100,100,500,16,0,1920x1200.png, 1.293232 s
seam-carving-omp-opt,100,100,500,16,0,1024x768.png, 0.833947 s
seam-carving-omp-opt,100,100,500,16,0,3840x2160.png, 4.284890 s
seam-carving-omp-opt,100,100,1000,16,0,valve.png, 0.379267 s
seam-carving-omp-opt,100,100,1000,16,0,720x480.png, 0.427175 s
seam-carving-omp-opt,100,100,1000,16,0,7680x4320.png, 15.691028 s
seam-carving-omp-opt,100,100,1000,16,0,1920x1200.png, 1.437828 s
seam-carving-omp-opt,100,100,1000,16,0,1024x768.png, 0.832376 s
seam-carving-omp-opt,100,100,1000,16,0,3840x2160.png, 5.311043 s
seam-carving-omp-opt,100,100,5000,16,0,valve.png, 0.359766 s
seam-carving-omp-opt,100,100,5000,16,0,720x480.png, 0.443145 s
seam-carving-omp-opt,100,100,5000,16,0,7680x4320.png, 24.043255 s
seam-carving-omp-opt,100,100,5000,16,0,1920x1200.png, 1.433590 s
seam-carving-omp-opt,100,100,5000,16,0,1024x768.png, 0.848315 s
seam-carving-omp-opt,100,100,5000,16,0,3840x2160.png, 7.171512 s
seam-carving-omp-opt,100,500,100,16,0,valve.png, 0.218791 s
seam-carving-omp-opt,100,500,100,16,0,720x480.png, 0.263181 s
seam-carving-omp-opt,100,500,100,16,0,7680x4320.png, 14.224396 s
seam-carving-omp-opt,100,500,100,16,0,1920x1200.png, 0.910052 s
seam-carving-omp-opt,100,500,100,16,0,1024x768.png, 0.431552 s
seam-carving-omp-opt,100,500,100,16,0,3840x2160.png, 3.735695 s
seam-carving-omp-opt,100,500,500,16,0,valve.png, 0.260558 s
seam-carving-omp-opt,100,500,500,16,0,720x480.png, 0.320031 s
seam-carving-omp-opt,100,500,500,16,0,7680x4320.png, 14.142285 s
seam-carving-omp-opt,100,500,500,16,0,1920x1200.png, 1.091895 s
seam-carving-omp-opt,100,500,500,16,0,1024x768.png, 0.686427 s
seam-carving-omp-opt,100,500,500,16,0,3840x2160.png, 4.287378 s
seam-carving-omp-opt,100,500,1000,16,0,valve.png, 0.267441 s
seam-carving-omp-opt,100,500,1000,16,0,720x480.png, 0.320289 s
seam-carving-omp-opt,100,500,1000,16,0,7680x4320.png, 15.671005 s
seam-carving-omp-opt,100,500,1000,16,0,1920x1200.png, 1.258307 s
seam-carving-omp-opt,100,500,1000,16,0,1024x768.png, 0.686676 s
seam-carving-omp-opt,100,500,1000,16,0,3840x2160.png, 5.244916 s
seam-carving-omp-opt,100,500,5000,16,0,valve.png, 0.259162 s
seam-carving-omp-opt,100,500,5000,16,0,720x480.png, 0.317453 s
seam-carving-omp-opt,100,500,5000,16,0,7680x4320.png, 23.967245 s
seam-carving-omp-opt,100,500,5000,16,0,1920x1200.png, 1.297915 s
seam-carving-omp-opt,100,500,5000,16,0,1024x768.png, 0.710809 s
seam-carving-omp-opt,100,500,5000,16,0,3840x2160.png, 7.132936 s
seam-carving-omp-opt,100,1000,100,16,0,valve.png, 0.220179 s
seam-carving-omp-opt,100,1000,100,16,0,720x480.png, 0.270744 s
seam-carving-omp-opt,100,1000,100,16,0,7680x4320.png, 14.144883 s
seam-carving-omp-opt,100,1000,100,16,0,1920x1200.png, 1.044906 s
seam-carving-omp-opt,100,1000,100,16,0,1024x768.png, 0.447603 s
seam-carving-omp-opt,100,1000,100,16,0,3840x2160.png, 3.543723 s
seam-carving-omp-opt,100,1000,500,16,0,valve.png, 0.270858 s
seam-carving-omp-opt,100,1000,500,16,0,720x480.png, 0.338188 s
seam-carving-omp-opt,100,1000,500,16,0,7680x4320.png, 14.141078 s
seam-carving-omp-opt,100,1000,500,16,0,1920x1200.png, 1.250062 s
seam-carving-omp-opt,100,1000,500,16,0,1024x768.png, 0.709135 s
seam-carving-omp-opt,100,1000,500,16,0,3840x2160.png, 4.233717 s
seam-carving-omp-opt,100,1000,1000,16,0,valve.png, 0.279180 s
seam-carving-omp-opt,100,1000,1000,16,0,720x480.png, 0.341459 s
seam-carving-omp-opt,100,1000,1000,16,0,7680x4320.png, 15.717934 s
seam-carving-omp-opt,100,1000,1000,16,0,1920x1200.png, 1.377669 s
seam-carving-omp-opt,100,1000,1000,16,0,1024x768.png, 0.723229 s
seam-carving-omp-opt,100,1000,1000,16,0,3840x2160.png, 5.293338 s
seam-carving-omp-opt,100,1000,5000,16,0,valve.png, 0.285028 s
seam-carving-omp-opt,100,1000,5000,16,0,720x480.png, 0.345572 s
seam-carving-omp-opt,100,1000,5000,16,0,7680x4320.png, 24.047123 s
seam-carving-omp-opt,100,1000,5000,16,0,1920x1200.png, 1.329403 s
seam-carving-omp-opt,100,1000,5000,16,0,1024x768.png, 0.676666 s
seam-carving-omp-opt,100,1000,5000,16,0,3840x2160.png, 7.600191 s
seam-carving-omp-opt,100,5000,100,16,0,valve.png, 0.220128 s
seam-carving-omp-opt,100,5000,100,16,0,720x480.png, 0.254951 s
seam-carving-omp-opt,100,5000,100,16,0,7680x4320.png, 15.837139 s
seam-carving-omp-opt,100,5000,100,16,0,1920x1200.png, 0.995208 s
seam-carving-omp-opt,100,5000,100,16,0,1024x768.png, 0.421122 s
seam-carving-omp-opt,100,5000,100,16,0,3840x2160.png, 4.001388 s
seam-carving-omp-opt,100,5000,500,16,0,valve.png, 0.272065 s
seam-carving-omp-opt,100,5000,500,16,0,720x480.png, 0.325201 s
seam-carving-omp-opt,100,5000,500,16,0,7680x4320.png, 15.823638 s
seam-carving-omp-opt,100,5000,500,16,0,1920x1200.png, 1.204271 s
seam-carving-omp-opt,100,5000,500,16,0,1024x768.png, 0.684031 s
seam-carving-omp-opt,100,5000,500,16,0,3840x2160.png, 4.656347 s
seam-carving-omp-opt,100,5000,1000,16,0,valve.png, 0.270515 s
seam-carving-omp-opt,100,5000,1000,16,0,720x480.png, 0.330177 s
seam-carving-omp-opt,100,5000,1000,16,0,7680x4320.png, 17.274323 s
seam-carving-omp-opt,100,5000,1000,16,0,1920x1200.png, 1.339696 s
seam-carving-omp-opt,100,5000,1000,16,0,1024x768.png, 0.682489 s
seam-carving-omp-opt,100,5000,1000,16,0,3840x2160.png, 5.855520 s
seam-carving-omp-opt,100,5000,5000,16,0,valve.png, 0.271182 s
seam-carving-omp-opt,100,5000,5000,16,0,720x480.png, 0.329216 s
seam-carving-omp-opt,100,5000,5000,16,0,7680x4320.png, 25.988687 s
seam-carving-omp-opt,100,5000,5000,16,0,1920x1200.png, 1.326466 s
seam-carving-omp-opt,100,5000,5000,16,0,1024x768.png, 0.682254 s
seam-carving-omp-opt,100,5000,5000,16,0,3840x2160.png, 8.078100 s
seam-carving-omp-opt,500,100,100,16,0,valve.png, 0.267262 s
seam-carving-omp-opt,500,100,100,16,0,720x480.png, 0.335393 s
seam-carving-omp-opt,500,100,100,16,0,7680x4320.png, 14.176570 s
seam-carving-omp-opt,500,100,100,16,0,1920x1200.png, 1.082345 s
seam-carving-omp-opt,500,100,100,16,0,1024x768.png, 0.564158 s
seam-carving-omp-opt,500,100,100,16,0,3840x2160.png, 3.812887 s
seam-carving-omp-opt,500,100,500,16,0,valve.png, 0.385828 s
seam-carving-omp-opt,500,100,500,16,0,720x480.png, 0.450527 s
seam-carving-omp-opt,500,100,500,16,0,7680x4320.png, 14.142917 s
seam-carving-omp-opt,500,100,500,16,0,1920x1200.png, 1.303197 s
seam-carving-omp-opt,500,100,500,16,0,1024x768.png, 0.842159 s
seam-carving-omp-opt,500,100,500,16,0,3840x2160.png, 4.363727 s
seam-carving-omp-opt,500,100,1000,16,0,valve.png, 0.371911 s
seam-carving-omp-opt,500,100,1000,16,0,720x480.png, 0.447969 s
seam-carving-omp-opt,500,100,1000,16,0,7680x4320.png, 15.652281 s
seam-carving-omp-opt,500,100,1000,16,0,1920x1200.png, 1.470337 s
seam-carving-omp-opt,500,100,1000,16,0,1024x768.png, 0.846167 s
seam-carving-omp-opt,500,100,1000,16,0,3840x2160.png, 5.361678 s
seam-carving-omp-opt,500,100,5000,16,0,valve.png, 0.371989 s
seam-carving-omp-opt,500,100,5000,16,0,720x480.png, 0.443955 s
seam-carving-omp-opt,500,100,5000,16,0,7680x4320.png, 24.032469 s
seam-carving-omp-opt,500,100,5000,16,0,1920x1200.png, 1.434377 s
seam-carving-omp-opt,500,100,5000,16,0,1024x768.png, 0.824967 s
seam-carving-omp-opt,500,100,5000,16,0,3840x2160.png, 7.198473 s
seam-carving-omp-opt,500,500,100,16,0,valve.png, 0.214793 s
seam-carving-omp-opt,500,500,100,16,0,720x480.png, 0.257309 s
seam-carving-omp-opt,500,500,100,16,0,7680x4320.png, 14.110213 s
seam-carving-omp-opt,500,500,100,16,0,1920x1200.png, 0.897145 s
seam-carving-omp-opt,500,500,100,16,0,1024x768.png, 0.422016 s
seam-carving-omp-opt,500,500,100,16,0,3840x2160.png, 3.740047 s
seam-carving-omp-opt,500,500,500,16,0,valve.png, 0.264359 s
seam-carving-omp-opt,500,500,500,16,0,720x480.png, 0.323293 s
seam-carving-omp-opt,500,500,500,16,0,7680x4320.png, 14.211665 s
seam-carving-omp-opt,500,500,500,16,0,1920x1200.png, 1.083226 s
seam-carving-omp-opt,500,500,500,16,0,1024x768.png, 0.683326 s
seam-carving-omp-opt,500,500,500,16,0,3840x2160.png, 4.334591 s
seam-carving-omp-opt,500,500,1000,16,0,valve.png, 0.266702 s
seam-carving-omp-opt,500,500,1000,16,0,720x480.png, 0.323710 s
