Run,Size,Method,Time
1,2048,base,1248.520
2,2048,base,1247.750
3,2048,base,1247.889
4,2048,base,1248.221
5,2048,base,1247.986
1,2048,opt,306.427
2,2048,opt,307.547
3,2048,opt,307.952
4,2048,opt,308.027
5,2048,opt,307.675
1,2048,novoid,91.961
2,2048,novoid,91.957
3,2048,novoid,92.057
4,2048,novoid,91.972
5,2048,novoid,92.013
