Run,Size,Method,Time
1,512,base,78.201
2,512,base,78.168
3,512,base,78.197
4,512,base,78.191
5,512,base,78.177
1,512,opt,19.261
2,512,opt,19.269
3,512,opt,19.270
4,512,opt,19.267
5,512,opt,19.267
1,512,novoid,5.772
2,512,novoid,5.808
3,512,novoid,5.804
4,512,novoid,5.795
5,512,novoid,5.808
