Run,Size,Method,Time
1,256,base,19.640
2,256,base,19.656
3,256,base,19.658
4,256,base,19.641
5,256,base,19.636
1,256,opt,4.907
2,256,opt,4.914
3,256,opt,4.909
4,256,opt,4.912
5,256,opt,4.912
1,256,novoid,1.632
2,256,novoid,1.621
3,256,novoid,1.631
4,256,novoid,1.626
5,256,novoid,1.634
