Run,N,Method,Cores,Block,Steps,Time
1,8000,gpu2,1,128,5000,18.333
2,8000,gpu2,1,128,5000,18.279
3,8000,gpu2,1,128,5000,18.270
4,8000,gpu2,1,128,5000,18.544
5,8000,gpu2,1,128,5000,18.285
