Run,N,Method,Cores,Block,Steps,Time
1,2000,omp,2,128,5000,12.390
2,2000,omp,2,128,5000,12.376
3,2000,omp,2,128,5000,12.384
4,2000,omp,2,128,5000,12.382
5,2000,omp,2,128,5000,12.386
