Run,N,Method,Cores,Block,Steps,Time
1,1000,omp,4,128,5000,1.851
2,1000,omp,4,128,5000,1.864
3,1000,omp,4,128,5000,1.861
4,1000,omp,4,128,5000,1.862
5,1000,omp,4,128,5000,1.856
