Run,N,Method,Cores,Block,Steps,Time
1,2000,seq,1,128,5000,30.408
2,2000,seq,1,128,5000,30.207
3,2000,seq,1,128,5000,30.407
4,2000,seq,1,128,5000,29.970
5,2000,seq,1,128,5000,30.268
