Run,N,Method,Cores,Block,Steps,Time
1,8000,omp,4,128,5000,98.069
2,8000,omp,4,128,5000,97.838
3,8000,omp,4,128,5000,97.339
4,8000,omp,4,128,5000,96.966
5,8000,omp,4,128,5000,96.348
