Run,N,Method,Cores,Block,Steps,Time
1,8000,gpu,1,256,5000,13.772
2,8000,gpu,1,256,5000,13.668
3,8000,gpu,1,256,5000,13.677
4,8000,gpu,1,256,5000,13.648
5,8000,gpu,1,256,5000,13.663
