Run,N,Method,Cores,Block,Steps,Time
1,1000,opt,1,128,5000,1.379
2,1000,opt,1,128,5000,1.386
3,1000,opt,1,128,5000,1.392
4,1000,opt,1,128,5000,1.403
5,1000,opt,1,128,5000,1.392
