Run,N,Method,Cores,Block,Steps,Time
1,1000,opt,1,64,5000,1.521
2,1000,opt,1,64,5000,1.486
3,1000,opt,1,64,5000,1.472
4,1000,opt,1,64,5000,1.416
5,1000,opt,1,64,5000,1.382
