Run,N,Method,Cores,Block,Steps,Time
1,8000,omp,16,128,5000,24.604
2,8000,omp,16,128,5000,24.560
3,8000,omp,16,128,5000,24.587
4,8000,omp,16,128,5000,24.578
5,8000,omp,16,128,5000,24.776
