Run,N,Method,Cores,Block,Steps,Time
1,8000,cells,1,128,5000,0.876
2,8000,cells,1,128,5000,0.907
3,8000,cells,1,128,5000,0.868
4,8000,cells,1,128,5000,0.694
5,8000,cells,1,128,5000,0.625
