Run,N,Method,Cores,Block,Steps,Time
1,2000,opt,1,256,5000,2.698
2,2000,opt,1,256,5000,2.789
3,2000,opt,1,256,5000,2.774
4,2000,opt,1,256,5000,2.680
5,2000,opt,1,256,5000,2.688
