Run,N,Method,Cores,Block,Steps,Time
1,2000,opt,1,512,5000,3.379
2,2000,opt,1,512,5000,3.369
3,2000,opt,1,512,5000,3.364
4,2000,opt,1,512,5000,3.382
5,2000,opt,1,512,5000,3.373
