Run,N,Method,Cores,Block,Steps,Time
1,2000,cells,1,128,5000,0.453
2,2000,cells,1,128,5000,0.410
3,2000,cells,1,128,5000,0.395
4,2000,cells,1,128,5000,0.404
5,2000,cells,1,128,5000,0.405
