Run,N,Method,Cores,Block,Steps,Time
1,1000,gpu,1,256,5000,1.795
2,1000,gpu,1,256,5000,1.810
3,1000,gpu,1,256,5000,1.813
4,1000,gpu,1,256,5000,1.820
5,1000,gpu,1,256,5000,1.810
