Run,N,Method,Cores,Block,Steps,Time
1,8000,opt,1,32,5000,9.447
2,8000,opt,1,32,5000,9.406
3,8000,opt,1,32,5000,9.628
4,8000,opt,1,32,5000,9.442
5,8000,opt,1,32,5000,9.428
