Run,N,Method,Cores,Block,Steps,Time
1,1000,gpu,1,512,5000,1.962
2,1000,gpu,1,512,5000,1.955
3,1000,gpu,1,512,5000,1.937
4,1000,gpu,1,512,5000,1.957
5,1000,gpu,1,512,5000,1.949
