Run,N,Method,Cores,Block,Steps,Time
1,8000,gpu,1,512,5000,14.889
2,8000,gpu,1,512,5000,14.799
3,8000,gpu,1,512,5000,14.782
4,8000,gpu,1,512,5000,15.013
5,8000,gpu,1,512,5000,14.797
