Run,N,Method,Cores,Block,Steps,Time
1,1000,gpu,1,64,5000,1.894
2,1000,gpu,1,64,5000,1.824
3,1000,gpu,1,64,5000,1.912
4,1000,gpu,1,64,5000,1.891
5,1000,gpu,1,64,5000,1.816
