Run,N,Method,Cores,Block,Steps,Time
1,1000,omp,32,128,5000,0.906
2,1000,omp,32,128,5000,0.907
3,1000,omp,32,128,5000,0.909
4,1000,omp,32,128,5000,0.906
5,1000,omp,32,128,5000,0.908
