Run,N,Method,Cores,Block,Steps,Time
1,8000,gpu,1,64,5000,13.726
2,8000,gpu,1,64,5000,13.637
3,8000,gpu,1,64,5000,13.640
4,8000,gpu,1,64,5000,13.627
5,8000,gpu,1,64,5000,13.627
