Run,N,Method,Cores,Block,Steps,Time
1,1000,gpu2,1,128,5000,2.744
2,1000,gpu2,1,128,5000,2.656
3,1000,gpu2,1,128,5000,2.658
4,1000,gpu2,1,128,5000,2.659
5,1000,gpu2,1,128,5000,2.654
