Run,N,Method,Cores,Block,Steps,Time
1,2000,gpu2,1,128,5000,5.099
2,2000,gpu2,1,128,5000,4.847
3,2000,gpu2,1,128,5000,4.865
4,2000,gpu2,1,128,5000,4.833
5,2000,gpu2,1,128,5000,4.835
