Run,N,Method,Cores,Block,Steps,Time
1,8000,opt,1,64,5000,9.412
2,8000,opt,1,64,5000,9.302
3,8000,opt,1,64,5000,9.312
4,8000,opt,1,64,5000,9.318
5,8000,opt,1,64,5000,9.303
