Run,N,Method,Cores,Block,Steps,Time
1,1000,opt,1,512,5000,2.029
2,1000,opt,1,512,5000,1.855
3,1000,opt,1,512,5000,1.834
4,1000,opt,1,512,5000,1.838
5,1000,opt,1,512,5000,1.836
