Run,N,Method,Cores,Block,Steps,Time
1,1000,opt,1,256,5000,1.486
2,1000,opt,1,256,5000,1.539
3,1000,opt,1,256,5000,1.497
4,1000,opt,1,256,5000,1.510
5,1000,opt,1,256,5000,1.488
