Run,N,Method,Cores,Block,Steps,Time
1,8000,omp,8,128,5000,51.858
2,8000,omp,8,128,5000,52.157
3,8000,omp,8,128,5000,51.923
4,8000,omp,8,128,5000,51.856
5,8000,omp,8,128,5000,51.828
