Run,N,Method,Cores,Block,Steps,Time
1,1000,cells,1,128,5000,0.459
2,1000,cells,1,128,5000,0.396
3,1000,cells,1,128,5000,0.408
4,1000,cells,1,128,5000,0.400
5,1000,cells,1,128,5000,0.410
