Run,Size,Method,Procs,Nodes,Halo,Time
1,128,row,2,1,1,0.597
2,128,row,2,1,1,0.596
3,128,row,2,1,1,0.587
4,128,row,2,1,1,0.600
5,128,row,2,1,1,0.596
