Run,Size,Method,Procs,Nodes,Halo,Time
1,512,row,1,1,1,19.198
2,512,row,1,1,1,19.262
3,512,row,1,1,1,19.343
4,512,row,1,1,1,19.575
5,512,row,1,1,1,19.158
