Run,Size,Method,Procs,Nodes,Halo,Time
1,128,row,1,1,1,1.112
2,128,row,1,1,1,1.151
3,128,row,1,1,1,1.133
4,128,row,1,1,1,1.154
5,128,row,1,1,1,1.167
