Run,Size,Method,Procs,Nodes,Halo,Time
1,1024,seq,1,1,1,78.334
2,1024,seq,1,1,1,78.113
3,1024,seq,1,1,1,75.888
4,1024,seq,1,1,1,75.974
5,1024,seq,1,1,1,76.447
