Run,Size,Method,Procs,Nodes,Halo,Time
1,1024,row,32,2,1,4.475
2,1024,row,32,2,1,2.618
3,1024,row,32,2,1,2.554
4,1024,row,32,2,1,2.500
5,1024,row,32,2,1,2.448
