Run,Size,Method,Procs,Nodes,Halo,Time
1,128,block,4,1,1,0.259
2,128,block,4,1,1,0.268
3,128,block,4,1,1,0.258
4,128,block,4,1,1,0.264
5,128,block,4,1,1,0.265
