Run,Size,Method,Procs,Nodes,Halo,Time
1,512,seq,1,1,1,19.389
2,512,seq,1,1,1,19.427
3,512,seq,1,1,1,19.566
4,512,seq,1,1,1,19.563
5,512,seq,1,1,1,19.485
