Run,Size,Method,Procs,Nodes,Halo,Time
1,1024,row,16,2,1,8.999
2,1024,row,16,2,1,9.049
3,1024,row,16,2,1,4.934
4,1024,row,16,2,1,8.917
5,1024,row,16,2,1,8.822
