Run,Size,Method,Procs,Nodes,Halo,Time
1,128,seq,1,1,1,1.154
2,128,seq,1,1,1,1.153
3,128,seq,1,1,1,1.190
4,128,seq,1,1,1,1.199
5,128,seq,1,1,1,1.200
