Run,Size,Method,Procs,Nodes,Halo,Time
1,512,row,32,1,1,0.740
2,512,row,32,1,1,0.705
3,512,row,32,1,1,0.725
4,512,row,32,1,1,0.700
5,512,row,32,1,1,0.690
