Run,Size,Method,Procs,Nodes,Halo,Time
1,512,row,4,1,1,8.983
2,512,row,4,1,1,4.603
3,512,row,4,1,1,4.694
4,512,row,4,1,1,4.738
5,512,row,4,1,1,4.770
