Run,Size,Method,Procs,Nodes,Halo,Time
1,512,row,2,1,1,9.350
2,512,row,2,1,1,9.008
3,512,row,2,1,1,9.102
4,512,row,2,1,1,9.299
5,512,row,2,1,1,9.321
