Run,Size,Method,Procs,Nodes,Halo,Time
1,1024,block,16,1,1,4.159
2,1024,block,16,1,1,4.044
3,1024,block,16,1,1,4.153
4,1024,block,16,1,1,4.048
5,1024,block,16,1,1,4.157
