Run,Size,Method,Procs,Nodes,Halo,Time
1,128,row,4,1,1,0.325
2,128,row,4,1,1,0.305
3,128,row,4,1,1,0.562
4,128,row,4,1,1,0.307
5,128,row,4,1,1,0.309
