Run,Size,Method,Procs,Nodes,Halo,Time
1,1024,block,4,1,1,16.678
2,1024,block,4,1,1,16.228
3,1024,block,4,1,1,16.220
4,1024,block,4,1,1,16.200
5,1024,block,4,1,1,16.693
