Run,Size,Method,Procs,Nodes,Halo,Time
1,1024,row,16,1,1,8.938
2,1024,row,16,1,1,8.888
3,1024,row,16,1,1,4.722
4,1024,row,16,1,1,8.912
5,1024,row,16,1,1,4.758
